trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
36.08839417,-115.17630005,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5E:6D,,infra,,2,0,?,?,?,False,56,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.0884285,-115.17629242,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5E:ED,,infra,,2,0,?,?,?,False,100,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08912277,-115.17658234,OpenRoaming@CLUS,6,20240211-00000,2024-02-11 23:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,24:16:1B:AE:5F:2D,,infra,,2,0,?,?,?,False,100,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.09079742,-115.17687988,OpenRoaming@CLUS,4,20240409-00000,2024-04-09 15:00:00+00:00,2024-06-03 20:00:00+00:00,2024-06-03 21:00:00+00:00,24:16:1B:AE:63:4D,,infra,,2,0,?,?,?,False,64,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08925247,-115.17582703,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:68:2D,,infra,,2,0,?,?,?,False,112,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.0873909,-115.17430878,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 18:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,5C:64:F1:FD:E6:8D,,infra,,2,0,?,?,?,False,144,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08801651,-115.17848969,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 16:00:00+00:00,2024-06-03 10:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:21:FC:6D,,infra,,2,0,?,?,?,False,128,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08879852,-115.17816925,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 15:00:00+00:00,2024-06-03 10:00:00+00:00,2024-06-03 11:00:00+00:00,88:9C:AD:41:00:AD,,infra,,2,0,?,?,?,False,116,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08756638,-115.17684937,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 20:00:00+00:00,2024-06-03 21:00:00+00:00,88:9C:AD:41:00:CD,,infra,,2,0,?,?,?,False,132,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08785248,-115.17804718,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,88:9C:AD:41:01:0D,,infra,,2,0,?,?,?,False,144,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
